"sex","la","year","e50","e65","e80"
"male","E06000008",2005,75.3273381294964,78.9868131868132,85.296803652968
"male","E06000008",2006,75.2292768959436,79.0237580993521,85.2149122807018
"male","E06000008",2007,75.0580204778157,79.2976445396146,85.6477732793522
"male","E06000008",2008,75.0325670498084,79.3197115384615,85.2672811059908
"male","E06000008",2009,75.5250896057348,79.6074561403509,85.5755102040816
"male","E06000008",2010,75.7476635514019,79.6568181818182,85.4488888888889
"male","E06000008",2011,74.9749552772809,79.5091324200913,85.3914893617021
"male","E06000008",2012,76.1033210332103,80.0561797752809,85.7918367346939
"male","E06000008",2013,75.7960288808664,79.8730512249443,85.8266129032258
"male","E06000009",2001,NA,NA,NA
"male","E06000009",2002,75.1637168141593,79.0502717391304,85.1685082872928
"male","E06000009",2003,76.0203619909502,79.3921832884097,85.1548556430446
"male","E06000009",2004,75.2029816513761,78.768479776848,85.4770114942529
"male","E06000009",2005,76.2157303370787,79.5914552736983,85.5277777777778
"male","E06000009",2006,75.0716845878136,79.3958020989505,85.342939481268
"male","E06000009",2007,76.0875912408759,79.2758620689655,85.8825214899714
"male","E06000009",2008,75.7344913151365,80.1275272161742,85.5983146067416
"male","E06000009",2009,76.0714285714286,79.2543859649123,85.5527065527066
"male","E06000009",2010,75.4314660309893,79.3425655976676,85.7464387464387
"male","E06000009",2011,76.026875699888,79.6702849389416,85.7741935483871
"male","E06000009",2012,75.6489493201483,79.6443768996961,86.1936416184971
"male","E06000009",2013,76.3942652329749,80.1098430813124,86.1887755102041
"male","E06000010",2001,NA,NA,NA
"male","E06000010",2002,74.6439195100612,78.2385026737968,85.011961722488
"male","E06000010",2003,75.4388009991674,79.0808080808081,85.0060120240481
"male","E06000010",2004,75.1187772925764,78.4102296450939,84.6537585421412
"male","E06000010",2005,75.1737556561086,78.6754675467547,84.9377880184332
"male","E06000010",2006,75.2451063829787,79.025826446281,85.0985324947589
"male","E06000010",2007,76,79.1688741721854,84.8639308855292
"male","E06000010",2008,75.482096069869,79.129883843717,85.2721649484536
"male","E06000010",2009,75.3742166517457,79.2535675082327,85.5066666666667
"male","E06000010",2010,75.5403071017274,79.4599056603774,85.5661252900232
"male","E06000010",2011,75.8564547206166,79.4202561117579,85.6926605504587
"male","E06000010",2012,76.6620752984389,79.5574468085106,85.5060975609756
"male","E06000010",2013,76.2269705603039,80.3088578088578,85.776
"male","E06000011",2001,NA,NA,NA
"male","E06000011",2002,76.6444007858546,79.1030392883617,85.4835820895522
"male","E06000011",2003,76.9408060453401,79.7596223674655,85.4703448275862
"male","E06000011",2004,76.5232628398792,79.3143254520167,85.2558139534884
"male","E06000011",2005,76.7917705735661,79.6776978417266,85.3909574468085
"male","E06000011",2006,76.8840390879479,79.8645357686454,85.5261669024045
"male","E06000011",2007,77.0563758389262,79.7727975270479,85.5552325581395
"male","E06000011",2008,77.1424968474149,79.8790731354091,85.5981182795699
"male","E06000011",2009,77.4770700636943,80.3741697416974,85.812661498708
"male","E06000011",2010,77.7967681789932,80.57,85.8233861144945
"male","E06000011",2011,77.6808510638298,80.2213523131673,85.8735919899875
"male","E06000011",2012,77.6790419161677,80.2708757637475,85.9808383233533
"male","E06000011",2013,78.6483323581042,81.0480579328506,86.2238805970149
"male","E06000012",2001,NA,NA,NA
"male","E06000012",2002,76.0298507462687,79.0903328050713,85.1613924050633
"male","E06000012",2003,76.3392630241423,78.8369723435226,85.2342342342342
"male","E06000012",2004,75.8955974842767,79.5106060606061,84.9505813953488
"male","E06000012",2005,75.6073871409029,78.9739413680782,85.2392026578073
"male","E06000012",2006,75.9834710743802,79.1889250814332,85.4063492063492
"male","E06000012",2007,75.8494353826851,79.5604229607251,85.6133720930233
"male","E06000012",2008,76.1317204301075,79.2773375594295,85.5457317073171
"male","E06000012",2009,76.3027027027027,79.8438003220612,85.7439759036145
"male","E06000012",2010,76.9013888888889,79.6060606060606,85.3884057971015
"male","E06000012",2011,76.9971550497866,79.7618270799347,85.669696969697
"male","E06000012",2012,77.3636363636364,80.5619967793881,86.0111111111111
"male","E06000012",2013,77.3456632653061,80.3125925925926,86.0927835051546
"male","E06000013",2001,NA,NA,NA
"male","E06000013",2002,76.0575035063114,78.6591276252019,85.0627177700348
"male","E06000013",2003,75.5508684863524,79.705069124424,85.1239193083573
"male","E06000013",2004,76.4596354166667,78.9507462686567,85.04375
"male","E06000013",2005,75.9341563786008,79.1677524429967,84.7208588957055
"male","E06000013",2006,76.7407407407407,79.698275862069,85.2475884244373
"male","E06000013",2007,76.1601085481683,79.7540716612378,85.2047477744807
"male","E06000013",2008,76.0297699594046,79.3531300160514,85.3117283950617
"male","E06000013",2009,77.3653585926928,80.1390625,85.8236994219653
"male","E06000013",2010,76.5555555555556,80.1111111111111,85.9544072948328
"male","E06000013",2011,76.970398970399,80.2541856925419,85.9338842975207
"male","E06000013",2012,76.9135638297872,80.0326594090202,85.9127906976744
"male","E06000013",2013,77.4009661835749,80.5764375876578,86.0452380952381
"male","E06000014",2001,NA,NA,NA
"male","E06000014",2002,77.1811023622047,79.8520179372197,85.6896551724138
"male","E06000014",2003,77.2964329643296,79.6879334257975,85.6507936507936
"male","E06000014",2004,77.0396927016645,80.2451127819549,85.4973684210526
"male","E06000014",2005,77.7128463476071,80.2315340909091,85.6994949494949
"male","E06000014",2006,77.1018276762402,80.4791987673344,85.5433070866142
"male","E06000014",2007,77.4586255259467,80.1733547351525,85.6445086705202
"male","E06000014",2008,77.3052208835341,80.1466049382716,85.5714285714286
"male","E06000014",2009,78.128895184136,80.8654781199352,85.997311827957
"male","E06000014",2010,78.2787550744249,81.4270015698587,86.2321428571429
"male","E06000014",2011,78.7685643564356,81.4416315049226,86.0086206896552
"male","E06000014",2012,78.6171003717472,81.3843971631206,86.3024830699774
"male","E06000014",2013,78.680196801968,81.0618982118294,86.0640176600441
"male","E06000015",2001,NA,NA,NA
"male","E06000015",2002,76.1787072243346,78.7821350762527,84.8798185941043
"male","E06000015",2003,76.6222005842259,79.8006833712984,84.9567901234568
"male","E06000015",2004,76.4243008678881,79.3284916201117,85.1773835920177
"male","E06000015",2005,76.517578125,79.5428571428571,84.9806034482759
"male","E06000015",2006,76.8924731182796,79.8526077097506,85.440329218107
"male","E06000015",2007,77.0900195694716,79.8511837655017,85.28
"male","E06000015",2008,76.8392504930966,80.2502910360885,85.7724425887265
"male","E06000015",2009,76.9167482859941,80.2041522491349,85.5542168674699
"male","E06000015",2010,77.4164004259851,80.4753086419753,86.1443736730361
"male","E06000015",2011,77.2272727272727,80.4088607594937,85.5766738660907
"male","E06000015",2012,77.6826722338205,80.726392251816,85.9030303030303
"male","E06000015",2013,78.1675338189386,80.9041420118343,86.0415841584158
"male","E06000016",2001,NA,NA,NA
"male","E06000016",2002,76.2403685092127,79.5854870775348,85.4408396946565
"male","E06000016",2003,75.9405450041288,79.1733203505355,85.4039603960396
"male","E06000016",2004,76.2144702842377,79.8397104446743,85.1378026070764
"male","E06000016",2005,76.5313043478261,80.0010330578512,85.6797752808989
"male","E06000016",2006,76.5077062556664,80.0505920344456,85.4299424184261
"male","E06000016",2007,76.2562277580071,79.7212249208025,85.5198412698413
"male","E06000016",2008,77.0903165735568,80.093447905478,85.9351669941061
"male","E06000016",2009,75.9324932493249,79.8891328210757,85.6713426853707
"male","E06000016",2010,75.823199251637,80.0740740740741,85.9252136752137
"male","E06000016",2011,75.8034420289855,80.0381593714927,85.7203219315895
"male","E06000016",2012,77.0018975332068,80.7100792751982,86.1201550387597
"male","E06000016",2013,76.5996488147498,80.6036131774708,86.4047619047619
"male","E06000017",2001,NA,NA,NA
"male","E06000017",2002,77.0992907801418,80.1157024793388,85.463768115942
"male","E06000017",2003,77.4195804195804,79.7952755905512,85.1408450704225
"male","E06000017",2004,77.9646017699115,80.0679611650485,85.7321428571429
"male","E06000017",2005,77.3387096774194,79.4954954954955,86.0727272727273
"male","E06000017",2006,76.0230769230769,80.3238095238095,85.4761904761905
"male","E06000017",2007,78.6375838926175,81.6923076923077,85.9655172413793
"male","E06000017",2008,79.2676056338028,81.59375,86.2048192771084
"male","E06000017",2009,77.25,80.5169491525424,86
"male","E06000017",2010,79.0469798657718,80.9197080291971,86.5569620253165
"male","E06000017",2011,78.4154929577465,81.288,86.6282051282051
"male","E06000017",2012,79.0056818181818,81.0807453416149,86.3877551020408
"male","E06000017",2013,80.0822784810127,82.1034482758621,86.1808510638298
"male","E06000018",2001,NA,NA,NA
"male","E06000018",2002,74.9146644573322,78.2344213649852,84.8918322295806
"male","E06000018",2003,74.9477272727273,78.5681399631676,84.7782258064516
"male","E06000018",2004,75.0983050847458,78.418016194332,84.9492273730684
"male","E06000018",2005,75.5815972222222,79.211962224554,85.4427966101695
"male","E06000018",2006,75.9539130434783,79.329886246122,85.2447257383966
"male","E06000018",2007,76.4405286343612,79.9245283018868,85.3062730627306
"male","E06000018",2008,76.1595466434176,79.5744016649324,85.3835616438356
"male","E06000018",2009,75.9359783588819,79.9889135254989,85.3611111111111
"male","E06000018",2010,75.8579335793358,79.9977116704806,85.7520661157025
"male","E06000018",2011,76.4100378787879,79.9830124575311,85.6094069529652
"male","E06000018",2012,77.3171428571429,80.3139407244786,85.8568702290076
"male","E06000018",2013,76.6684684684685,80.3071120689655,85.9348230912477
"male","E06000019",2001,NA,NA,NA
"male","E06000019",2002,77.3926096997691,80.3596256684492,85.6112412177986
"male","E06000019",2003,77.3695408734603,80.0485312899106,85.599537037037
"male","E06000019",2004,77.3241758241758,80.0478589420655,85.751756440281
"male","E06000019",2005,78.3242603550296,80.6094986807388,85.9347319347319
"male","E06000019",2006,77.679012345679,80.4929032258065,85.8333333333333
"male","E06000019",2007,76.7957219251337,79.8998748435544,85.3634259259259
"male","E06000019",2008,77.7978596908442,80.7064471879287,85.9305555555556
"male","E06000019",2009,78.0207650273224,81.0851334180432,86.296218487395
"male","E06000019",2010,78.0906976744186,81.2056451612903,86.1079295154185
"male","E06000019",2011,78.3355408388521,81.1460957178841,86.0080808080808
"male","E06000019",2012,78.7345537757437,81.1748071979435,86.1572327044025
"male","E06000019",2013,79.1956271576525,81.2708860759494,85.9862204724409
"male","E06000020",2001,NA,NA,NA
"male","E06000020",2002,75.0417362270451,78.3300198807157,84.8812785388128
"male","E06000020",2003,73.9600694444444,78.2755555555556,85.2578947368421
"male","E06000020",2004,74.1819727891156,78.2425531914894,85.1788990825688
"male","E06000020",2005,75.4022435897436,78.8046421663443,85.2745098039216
"male","E06000020",2006,75.5260223048327,79.2648401826484,85.3139013452915
"male","E06000020",2007,75.2170418006431,78.8517786561265,85.6163265306122
"male","E06000020",2008,74.9491525423729,79.2890792291221,85.6903765690377
"male","E06000020",2009,75.8890728476821,79.3996023856859,85.6279069767442
"male","E06000020",2010,75.881469115192,79.1924603174603,85.4169884169884
"male","E06000020",2011,75.7571644042232,79.7866419294991,85.5496688741722
"male","E06000020",2012,75.6932203389831,79.2792607802875,85.7831325301205
"male","E06000020",2013,76.2079365079365,79.7965779467681,85.9100346020761
"male","E06000021",2001,NA,NA,NA
"male","E06000021",2002,74.8498769483183,78.1159135559921,84.7384259259259
"male","E06000021",2003,75.315668202765,78.4713375796178,84.8967611336032
"male","E06000021",2004,75.2634493670886,78.5754985754986,84.6558044806517
"male","E06000021",2005,75.4238134887594,78.6029702970297,84.8617710583153
"male","E06000021",2006,75.4579037800687,78.899689762151,84.8246346555324
"male","E06000021",2007,75.6368948247079,79.4204081632653,85.0776699029126
"male","E06000021",2008,76.4638447971781,79.7468619246862,85.2616822429907
"male","E06000021",2009,76.0898576512456,79.5786096256684,85.2624254473161
"male","E06000021",2010,76.1565906838454,79.7280285035629,85.3106382978723
"male","E06000021",2011,75.9941916747338,79.2479815455594,85.2888888888889
"male","E06000021",2012,76.45,79.624043715847,85.560824742268
"male","E06000021",2013,76.8141361256545,79.8735983690112,85.8719851576994
"male","E06000022",2001,NA,NA,NA
"male","E06000022",2002,77.3470744680851,80.1067073170732,85.4502762430939
"male","E06000022",2003,78.0100864553314,80.5307443365696,85.6477272727273
"male","E06000022",2004,78.2158940397351,80.6602086438152,85.8944723618091
"male","E06000022",2005,77.8864569083447,80.8748019017433,85.4895287958115
"male","E06000022",2006,78.0201729106628,80.6127450980392,85.8038674033149
"male","E06000022",2007,78.0841248303935,80.8880248833593,85.9151670951157
"male","E06000022",2008,78.9078947368421,81.6279069767442,86.0749354005168
"male","E06000022",2009,79.3046062407132,82.0841750841751,86.4143920595534
"male","E06000022",2010,78.6158854166667,81.2821270310192,86.2052505966587
"male","E06000022",2011,78.8217821782178,81.8768233387358,86.1824817518248
"male","E06000022",2012,78.9190751445087,81.4376012965964,86.2896725440806
"male","E06000022",2013,79.705035971223,81.7460567823344,86.1848341232227
"male","E06000023",2001,NA,NA,NA
"male","E06000023",2002,75.8258138206739,79.5110192837466,85.4701195219124
"male","E06000023",2003,76.5835227272727,79.9019346230821,85.4172839506173
"male","E06000023",2004,76.7143746110765,80.1670345842531,85.4307891332471
"male","E06000023",2005,76.5957446808511,80.0623608017817,85.5745257452574
"male","E06000023",2006,76.4860935524652,80.0271903323263,85.673640167364
"male","E06000023",2007,76.5975526852481,79.8401606425703,85.6358296622614
"male","E06000023",2008,77.3663366336634,80.7561863173217,86.0061349693252
"male","E06000023",2009,76.8498122653317,80.5519578313253,85.5956354300385
"male","E06000023",2010,77.32689747004,80.8579321231255,86.0671052631579
"male","E06000023",2011,77.4215341308937,80.874067937034,86.2742382271468
"male","E06000023",2012,77.90329218107,80.8758893280632,86.0727272727273
"male","E06000023",2013,77.491216655823,81.0842349304482,86.0811485642946
"male","E06000024",2001,NA,NA,NA
"male","E06000024",2002,77.4475890985325,80.1988023952096,85.3447537473233
"male","E06000024",2003,77.6134969325153,80.5123094958968,85.5816733067729
"male","E06000024",2004,78.2213114754098,80.7581018518518,85.7509803921569
