"year","age","population_count","sex","region"
"1983",39,"31297","male","scotland"
"1983",39,"31608","female","scotland"
"1983",40,"62217","total","scotland"
"1983",40,"30804","male","scotland"
"1983",40,"31413","female","scotland"
"1983",41,"58759","total","scotland"
"1983",41,"28961","male","scotland"
"1983",41,"29798","female","scotland"
"1983",42,"56033","total","scotland"
"1983",42,"27510","male","scotland"
"1983",42,"28523","female","scotland"
"1983",43,"58432","total","scotland"
"1983",43,"28596","male","scotland"
"1983",43,"29836","female","scotland"
"1983",44,"58773","total","scotland"
"1983",44,"28895","male","scotland"
"1983",44,"29878","female","scotland"
"1983",45,"58766","total","scotland"
"1983",45,"28934","male","scotland"
"1983",45,"29832","female","scotland"
"1983",46,"58179","total","scotland"
"1983",46,"28239","male","scotland"
"1983",46,"29940","female","scotland"
"1983",47,"57777","total","scotland"
"1983",47,"28126","male","scotland"
"1983",47,"29651","female","scotland"
"1983",48,"57303","total","scotland"
"1983",48,"27908","male","scotland"
"1983",48,"29395","female","scotland"
"1983",49,"56710","total","scotland"
"1983",49,"27769","male","scotland"
"1983",49,"28941","female","scotland"
"1983",50,"56483","total","scotland"
"1983",50,"27388","male","scotland"
"1983",50,"29095","female","scotland"
"1983",51,"58659","total","scotland"
"1983",51,"28304","male","scotland"
"1983",51,"30355","female","scotland"
"1983",52,"58654","total","scotland"
"1983",52,"28315","male","scotland"
"1983",52,"30339","female","scotland"
"1983",53,"58506","total","scotland"
"1983",53,"27954","male","scotland"
"1983",53,"30552","female","scotland"
"1983",54,"57934","total","scotland"
"1983",54,"27754","male","scotland"
"1983",54,"30180","female","scotland"
"1983",55,"57004","total","scotland"
"1983",55,"27367","male","scotland"
"1983",55,"29637","female","scotland"
"1983",56,"57320","total","scotland"
"1983",56,"27362","male","scotland"
"1983",56,"29958","female","scotland"
"1983",57,"58518","total","scotland"
"1983",57,"27888","male","scotland"
"1983",57,"30630","female","scotland"
"1983",58,"56768","total","scotland"
"1983",58,"27005","male","scotland"
"1983",58,"29763","female","scotland"
"1983",59,"57088","total","scotland"
"1983",59,"27000","male","scotland"
"1983",59,"30088","female","scotland"
"1983",60,"55652","total","scotland"
"1983",60,"26018","male","scotland"
"1983",60,"29634","female","scotland"
"1983",61,"58655","total","scotland"
"1983",61,"27420","male","scotland"
"1983",61,"31235","female","scotland"
"1983",62,"59089","total","scotland"
"1983",62,"26937","male","scotland"
"1983",62,"32152","female","scotland"
"1983",63,"61567","total","scotland"
"1983",63,"27760","male","scotland"
"1983",63,"33807","female","scotland"
"1983",64,"43354","total","scotland"
"1983",64,"19191","male","scotland"
"1983",64,"24163","female","scotland"
"1983",65,"41351","total","scotland"
"1983",65,"18245","male","scotland"
"1983",65,"23106","female","scotland"
"1983",66,"43875","total","scotland"
"1983",66,"19414","male","scotland"
"1983",66,"24461","female","scotland"
"1983",67,"45825","total","scotland"
"1983",67,"19899","male","scotland"
"1983",67,"25926","female","scotland"
"1983",68,"48538","total","scotland"
"1983",68,"20856","male","scotland"
"1983",68,"27682","female","scotland"
"1983",69,"47677","total","scotland"
"1983",69,"20241","male","scotland"
"1983",69,"27436","female","scotland"
"1983",70,"45800","total","scotland"
"1983",70,"19484","male","scotland"
"1983",70,"26316","female","scotland"
"1983",71,"43712","total","scotland"
"1983",71,"18294","male","scotland"
"1983",71,"25418","female","scotland"
"1983",72,"41963","total","scotland"
"1983",72,"17117","male","scotland"
"1983",72,"24846","female","scotland"
"1983",73,"40488","total","scotland"
"1983",73,"16154","male","scotland"
"1983",73,"24334","female","scotland"
"1983",74,"38513","total","scotland"
"1983",74,"15088","male","scotland"
"1983",74,"23425","female","scotland"
"1983",75,"36170","total","scotland"
"1983",75,"13822","male","scotland"
"1983",75,"22348","female","scotland"
"1983",76,"32724","total","scotland"
"1983",76,"12259","male","scotland"
"1983",76,"20465","female","scotland"
"1983",77,"30693","total","scotland"
"1983",77,"10931","male","scotland"
"1983",77,"19762","female","scotland"
"1983",78,"27984","total","scotland"
"1983",78,"9659","male","scotland"
"1983",78,"18325","female","scotland"
"1983",79,"25451","total","scotland"
"1983",79,"8461","male","scotland"
"1983",79,"16990","female","scotland"
"1983",80,"22570","total","scotland"
"1983",80,"7242","male","scotland"
"1983",80,"15328","female","scotland"
"1983",81,"19909","total","scotland"
"1983",81,"6128","male","scotland"
"1983",81,"13781","female","scotland"
"1983",82,"17656","total","scotland"
"1983",82,"5100","male","scotland"
"1983",82,"12556","female","scotland"
"1983",83,"15411","total","scotland"
"1983",83,"4194","male","scotland"
"1983",83,"11217","female","scotland"
"1983",84,"12186","total","scotland"
"1983",84,"3157","male","scotland"
"1983",84,"9029","female","scotland"
"1983",85,"10391","total","scotland"
"1983",85,"2532","male","scotland"
"1983",85,"7859","female","scotland"
"1983",86,"8719","total","scotland"
"1983",86,"2049","male","scotland"
"1983",86,"6670","female","scotland"
"1983",87,"7320","total","scotland"
"1983",87,"1609","male","scotland"
"1983",87,"5711","female","scotland"
"1983",88,"5703","total","scotland"
"1983",88,"1318","male","scotland"
"1983",88,"4385","female","scotland"
"1983",89,"4482","total","scotland"
"1983",89,"1002","male","scotland"
"1983",89,"3480","female","scotland"
"1983",90,"14193","total","scotland"
"1983",90,"2764","male","scotland"
"1983",90,"11429","female","scotland"
