ecode,ecode_la_name,ecode_region,ecode_class,ons_code,ons_la_name,ons_region_code,ons_region_name
E3537,Waveney,EE,SD,E07000206,Waveney,E12000006,East of England
E3620,Surrey,SE,SC,E10000030,Surrey,E12000008,South East
E3631,Elmbridge,SE,SD,E07000207,Elmbridge,E12000008,South East
E3632,Epsom & Ewell,SE,SD,E07000208,Epsom and Ewell,E12000008,South East
E3633,Guildford,SE,SD,E07000209,Guildford,E12000008,South East
E3634,Mole Valley,SE,SD,E07000210,Mole Valley,E12000008,South East
E3635,Reigate & Banstead,SE,SD,E07000211,Reigate and Banstead,E12000008,South East
E3636,Runnymede,SE,SD,E07000212,Runnymede,E12000008,South East
E3637,Spelthorne,SE,SD,E07000213,Spelthorne,E12000008,South East
E3638,Surrey Heath,SE,SD,E07000214,Surrey Heath,E12000008,South East
E3639,Tandridge,SE,SD,E07000215,Tandridge,E12000008,South East
E3640,Waverley,SE,SD,E07000216,Waverley,E12000008,South East
E3641,Woking,SE,SD,E07000217,Woking,E12000008,South East
E3720,Warwickshire,WM,SC,E10000031,Warwickshire,E12000005,West Midlands
E3731,North Warwickshire,WM,SD,E07000218,North Warwickshire,E12000005,West Midlands
E3732,Nuneaton & Bedworth,WM,SD,E07000219,Nuneaton and Bedworth,E12000005,West Midlands
E3733,Rugby,WM,SD,E07000220,Rugby,E12000005,West Midlands
E3734,Stratford-on-Avon,WM,SD,E07000221,Stratford-on-Avon,E12000005,West Midlands
E3735,Warwick,WM,SD,E07000222,Warwick,E12000005,West Midlands
E3820,West Sussex,SE,SC,E10000032,West Sussex,E12000008,South East
E3831,Adur,SE,SD,E07000223,Adur,E12000008,South East
E3832,Arun,SE,SD,E07000224,Arun,E12000008,South East
E3833,Chichester,SE,SD,E07000225,Chichester,E12000008,South East
E3834,Crawley,SE,SD,E07000226,Crawley,E12000008,South East
E3835,Horsham,SE,SD,E07000227,Horsham,E12000008,South East
E3836,Mid Sussex,SE,SD,E07000228,Mid Sussex,E12000008,South East
E3837,Worthing,SE,SD,E07000229,Worthing,E12000008,South East
E3901,Swindon UA,SW,UA,E06000030,Swindon,E12000009,South West
E3902,Wiltshire UA,SW,UA,E06000054,Wiltshire,E12000009,South West
E4001,Isles of Scilly,SW,UA,E06000053,Isles of Scilly,E12000009,South West
E4201,Bolton,NW,MD,E08000001,Bolton,E12000002,North West
E4202,Bury,NW,MD,E08000002,Bury,E12000002,North West
E4203,Manchester,NW,MD,E08000003,Manchester,E12000002,North West
E4204,Oldham,NW,MD,E08000004,Oldham,E12000002,North West
E4205,Rochdale,NW,MD,E08000005,Rochdale,E12000002,North West
E4206,Salford,NW,MD,E08000006,Salford,E12000002,North West
E4207,Stockport,NW,MD,E08000007,Stockport,E12000002,North West
E4208,Tameside,NW,MD,E08000008,Tameside,E12000002,North West
E4209,Trafford,NW,MD,E08000009,Trafford,E12000002,North West
E4210,Wigan,NW,MD,E08000010,Wigan,E12000002,North West
E4301,Knowsley,NW,MD,E08000011,Knowsley,E12000002,North West
E4302,Liverpool,NW,MD,E08000012,Liverpool,E12000002,North West
E4303,St Helens,NW,MD,E08000013,St. Helens,E12000002,North West
E4304,Sefton,NW,MD,E08000014,Sefton,E12000002,North West
E4305,Wirral,NW,MD,E08000015,Wirral,E12000002,North West
E4401,Barnsley,YH,MD,E08000016,Barnsley,E12000003,Yorkshire and The Humber
E4402,Doncaster,YH,MD,E08000017,Doncaster,E12000003,Yorkshire and The Humber
E4403,Rotherham,YH,MD,E08000018,Rotherham,E12000003,Yorkshire and The Humber
E4404,Sheffield,YH,MD,E08000019,Sheffield,E12000003,Yorkshire and The Humber
E4501,Gateshead,NE,MD,E08000037,Gateshead,E12000001,North East
E4502,Newcastle upon Tyne,NE,MD,E08000021,Newcastle upon Tyne,E12000001,North East
E4503,North Tyneside,NE,MD,E08000022,North Tyneside,E12000001,North East
E4504,South Tyneside,NE,MD,E08000023,South Tyneside,E12000001,North East
E4505,Sunderland,NE,MD,E08000024,Sunderland,E12000001,North East
E4601,Birmingham,WM,MD,E08000025,Birmingham,E12000005,West Midlands
E4602,Coventry,WM,MD,E08000026,Coventry,E12000005,West Midlands
E4603,Dudley,WM,MD,E08000027,Dudley,E12000005,West Midlands
E4604,Sandwell,WM,MD,E08000028,Sandwell,E12000005,West Midlands
E4605,Solihull,WM,MD,E08000029,Solihull,E12000005,West Midlands
E4606,Walsall,WM,MD,E08000030,Walsall,E12000005,West Midlands
E4607,Wolverhampton,WM,MD,E08000031,Wolverhampton,E12000005,West Midlands
E4701,Bradford,YH,MD,E08000032,Bradford,E12000003,Yorkshire and The Humber
E4702,Calderdale,YH,MD,E08000033,Calderdale,E12000003,Yorkshire and The Humber
E4703,Kirklees,YH,MD,E08000034,Kirklees,E12000003,Yorkshire and The Humber
E4704,Leeds,YH,MD,E08000035,Leeds,E12000003,Yorkshire and The Humber
E4705,Wakefield,YH,MD,E08000036,Wakefield,E12000003,Yorkshire and The Humber
E5010,City of London,L,L,E09000001,City of London,E12000007,London
E5011,Camden,L,L,E09000007,Camden,E12000007,London
E5012,Greenwich,L,L,E09000011,Greenwich,E12000007,London
E5013,Hackney,L,L,E09000012,Hackney,E12000007,London
E5014,Hammersmith & Fulham,L,L,E09000013,Hammersmith and Fulham,E12000007,London
E5015,Islington,L,L,E09000019,Islington,E12000007,London
E5016,Kensington & Chelsea,L,L,E09000020,Kensington and Chelsea,E12000007,London
E5017,Lambeth,L,L,E09000022,Lambeth,E12000007,London
E5018,Lewisham,L,L,E09000023,Lewisham,E12000007,London
E5019,Southwark,L,L,E09000028,Southwark,E12000007,London
E5020,Tower Hamlets,L,L,E09000030,Tower Hamlets,E12000007,London
E5021,Wandsworth,L,L,E09000032,Wandsworth,E12000007,London
E5022,Westminster,L,L,E09000033,Westminster,E12000007,London
E5030,Barking & Dagenham,L,L,E09000002,Barking and Dagenham,E12000007,London
E5031,Barnet,L,L,E09000003,Barnet,E12000007,London
E5032,Bexley,L,L,E09000004,Bexley,E12000007,London
E5033,Brent,L,L,E09000005,Brent,E12000007,London
E5034,Bromley,L,L,E09000006,Bromley,E12000007,London
E5035,Croydon,L,L,E09000008,Croydon,E12000007,London
E5036,Ealing,L,L,E09000009,Ealing,E12000007,London
E5037,Enfield,L,L,E09000010,Enfield,E12000007,London
E5038,Haringey,L,L,E09000014,Haringey,E12000007,London
E5039,Harrow,L,L,E09000015,Harrow,E12000007,London
E5040,Havering,L,L,E09000016,Havering,E12000007,London
E5041,Hillingdon,L,L,E09000017,Hillingdon,E12000007,London
E5042,Hounslow,L,L,E09000018,Hounslow,E12000007,London
E5043,Kingston upon Thames,L,L,E09000021,Kingston upon Thames,E12000007,London
E5044,Merton,L,L,E09000024,Merton,E12000007,London
E5045,Newham,L,L,E09000025,Newham,E12000007,London
E5046,Redbridge,L,L,E09000026,Redbridge,E12000007,London
E5047,Richmond upon Thames,L,L,E09000027,Richmond upon Thames,E12000007,London
E5048,Sutton,L,L,E09000029,Sutton,E12000007,London
E5049,Waltham Forest,L,L,E09000031,Waltham Forest,E12000007,London
E5100,Greater London Authority,L,O,,,,
E6002,Bedfordshire Police Authority,EE,O,,,,
E6005,Cambridgeshire Police Authority,EE,O,,,,
E6006,Cheshire Police Authority,NW,O,,,,
E6007,Cleveland Police Authority,NE,O,,,,
E6009,Cumbria Police Authority,NW,O,,,,
E6010,Derbyshire Police Authority,EM,O,,,,
E6012,Dorset Police Authority,SW,O,,,,
E6013,Durham Police Authority,NE,O,,,,
E6016,Gloucestershire Police Authority,SW,O,,,,
E6020,Humberside Police Authority,YH,O,,,,
E6022,Kent Police Authority,SE,O,,,,
E6023,Lancashire Police Authority,NW,O,,,,
E6024,Leicestershire Police Authority,EM,O,,,,
E6025,Lincolnshire Police Authority,EM,O,,,,
E6026,Norfolk Police Authority,EE,O,,,,
E6027,North Yorkshire Police Authority,YH,O,,,,
E6028,Northamptonshire Police Authority,EM,O,,,,
E6030,Nottinghamshire Police Authority,EM,O,,,,
E6034,Staffordshire Police Authority,WM,O,,,,
